N,File,r,Scenario,rhoR1R1True,runNo
500,GZ_cellProbabilities4x4_Group5.csv,4,5,-0.07681187,194
500,GZ_cellProbabilities4x4_Group6.csv,4,6,0.015957541,195
500,GZ_cellProbabilities4x4_Group7.csv,4,7,-0.485873615,196
500,GZ_cellProbabilities4x4_Group8.csv,4,8,0.489749996,197
500,GZ_cellProbabilities4x4_Group11.csv,4,11,-0.139742277,198
500,GZ_cellProbabilities4x4_Group12.csv,4,12,0.116230895,199
500,GZ_cellProbabilities4x4_Group13.csv,4,13,0.494615635,200
500,GZ_cellProbabilities5x5_Group1.csv,5,1,-5.79E-08,201
500,GZ_cellProbabilities5x5_Group2.csv,5,2,0.064035789,202
500,GZ_cellProbabilities5x5_Group3.csv,5,3,-0.398834736,203
500,GZ_cellProbabilities5x5_Group5.csv,5,5,-0.118535244,204
500,GZ_cellProbabilities5x5_Group6.csv,5,6,0.08848002,205
500,GZ_cellProbabilities5x5_Group7.csv,5,7,-0.405383164,206
500,GZ_cellProbabilities5x5_Group8.csv,5,8,0.425880687,207
500,GZ_cellProbabilities5x5_Group11.csv,5,11,-6.87E-07,208
500,GZ_cellProbabilities5x5_Group12.csv,5,12,0.164747842,209
500,GZ_cellProbabilities5x5_Group13.csv,5,13,0.49763817,210
500,cellProbabilities3x3_Group1.csv,3,1,-0.066332559,211
500,cellProbabilities3x3_Group2.csv,3,2,0.066329397,212
500,cellProbabilities3x3_Group3.csv,3,3,-0.392108273,213
500,cellProbabilities3x3_Group5.csv,3,5,-0.045469407,214
500,cellProbabilities3x3_Group6.csv,3,6,0.078453829,215
500,cellProbabilities3x3_Group7.csv,3,7,-0.456369814,216
500,cellProbabilities3x3_Group8.csv,3,8,0.470688225,217
500,cellProbabilities3x3_Group11.csv,3,11,-0.043438995,218
500,cellProbabilities3x3_Group12.csv,3,12,0.17088289,219
500,cellProbabilities3x3_Group13.csv,3,13,0.478294429,220
500,cellProbabilities4x4_Group1.csv,4,1,-3.43E-08,221
500,cellProbabilities4x4_Group2.csv,4,2,0.024907924,222
500,cellProbabilities4x4_Group3.csv,4,3,-0.343158906,223
500,cellProbabilities4x4_Group5.csv,4,5,-0.07681187,224
500,cellProbabilities4x4_Group6.csv,4,6,0.015957541,225
500,cellProbabilities4x4_Group7.csv,4,7,-0.485873615,226
500,cellProbabilities4x4_Group8.csv,4,8,0.489749996,227
500,cellProbabilities4x4_Group11.csv,4,11,-0.139742277,228
500,cellProbabilities4x4_Group12.csv,4,12,0.116230895,229
500,cellProbabilities4x4_Group13.csv,4,13,0.494615635,230
500,cellProbabilities5x5_Group1.csv,5,1,-5.79E-08,231
500,cellProbabilities5x5_Group2.csv,5,2,0.064035789,232
500,cellProbabilities5x5_Group3.csv,5,3,-0.398834736,233
500,cellProbabilities5x5_Group5.csv,5,5,-0.118535244,234
500,cellProbabilities5x5_Group6.csv,5,6,0.08848002,235
500,cellProbabilities5x5_Group7.csv,5,7,-0.405383164,236
500,cellProbabilities5x5_Group8.csv,5,8,0.425880687,237
500,cellProbabilities5x5_Group11.csv,5,11,-6.87E-07,238
500,cellProbabilities5x5_Group12.csv,5,12,0.164747842,239
500,cellProbabilities5x5_Group13.csv,5,13,0.49763817,240
1000,GZ_cellProbabilities3x3_Group1.csv,3,1,-0.066332559,241
1000,GZ_cellProbabilities3x3_Group2.csv,3,2,0.066329397,242
1000,GZ_cellProbabilities3x3_Group3.csv,3,3,-0.392108273,243
1000,GZ_cellProbabilities3x3_Group5.csv,3,5,-0.045469407,244
1000,GZ_cellProbabilities3x3_Group6.csv,3,6,0.078453829,245
1000,GZ_cellProbabilities3x3_Group7.csv,3,7,-0.456369814,246
1000,GZ_cellProbabilities3x3_Group8.csv,3,8,0.470688225,247
1000,GZ_cellProbabilities3x3_Group11.csv,3,11,-0.043438995,248
1000,GZ_cellProbabilities3x3_Group12.csv,3,12,0.17088289,249
1000,GZ_cellProbabilities3x3_Group13.csv,3,13,0.478294429,250
1000,GZ_cellProbabilities4x4_Group1.csv,4,1,-3.43E-08,251
1000,GZ_cellProbabilities4x4_Group2.csv,4,2,0.024907924,252
1000,GZ_cellProbabilities4x4_Group3.csv,4,3,-0.343158906,253
1000,GZ_cellProbabilities4x4_Group5.csv,4,5,-0.07681187,254
1000,GZ_cellProbabilities4x4_Group6.csv,4,6,0.015957541,255
1000,GZ_cellProbabilities4x4_Group7.csv,4,7,-0.485873615,256
1000,GZ_cellProbabilities4x4_Group8.csv,4,8,0.489749996,257
1000,GZ_cellProbabilities4x4_Group11.csv,4,11,-0.139742277,258
1000,GZ_cellProbabilities4x4_Group12.csv,4,12,0.116230895,259
1000,GZ_cellProbabilities4x4_Group13.csv,4,13,0.494615635,260
1000,GZ_cellProbabilities5x5_Group1.csv,5,1,-5.79E-08,261
1000,GZ_cellProbabilities5x5_Group2.csv,5,2,0.064035789,262
1000,GZ_cellProbabilities5x5_Group3.csv,5,3,-0.398834736,263
1000,GZ_cellProbabilities5x5_Group5.csv,5,5,-0.118535244,264
1000,GZ_cellProbabilities5x5_Group6.csv,5,6,0.08848002,265
1000,GZ_cellProbabilities5x5_Group7.csv,5,7,-0.405383164,266
1000,GZ_cellProbabilities5x5_Group8.csv,5,8,0.425880687,267
1000,GZ_cellProbabilities5x5_Group11.csv,5,11,-6.87E-07,268
1000,GZ_cellProbabilities5x5_Group12.csv,5,12,0.164747842,269
1000,GZ_cellProbabilities5x5_Group13.csv,5,13,0.49763817,270
1000,cellProbabilities3x3_Group1.csv,3,1,-0.066332559,271
1000,cellProbabilities3x3_Group2.csv,3,2,0.066329397,272
1000,cellProbabilities3x3_Group3.csv,3,3,-0.392108273,273
1000,cellProbabilities3x3_Group5.csv,3,5,-0.045469407,274
1000,cellProbabilities3x3_Group6.csv,3,6,0.078453829,275
1000,cellProbabilities3x3_Group7.csv,3,7,-0.456369814,276
1000,cellProbabilities3x3_Group8.csv,3,8,0.470688225,277
1000,cellProbabilities3x3_Group11.csv,3,11,-0.043438995,278
1000,cellProbabilities3x3_Group12.csv,3,12,0.17088289,279
1000,cellProbabilities3x3_Group13.csv,3,13,0.478294429,280
1000,cellProbabilities4x4_Group1.csv,4,1,-3.43E-08,281
1000,cellProbabilities4x4_Group2.csv,4,2,0.024907924,282
1000,cellProbabilities4x4_Group3.csv,4,3,-0.343158906,283
1000,cellProbabilities4x4_Group5.csv,4,5,-0.07681187,284
1000,cellProbabilities4x4_Group6.csv,4,6,0.015957541,285
1000,cellProbabilities4x4_Group7.csv,4,7,-0.485873615,286
1000,cellProbabilities4x4_Group8.csv,4,8,0.489749996,287
1000,cellProbabilities4x4_Group11.csv,4,11,-0.139742277,288
1000,cellProbabilities4x4_Group12.csv,4,12,0.116230895,289
1000,cellProbabilities4x4_Group13.csv,4,13,0.494615635,290
1000,cellProbabilities5x5_Group1.csv,5,1,-5.79E-08,291
1000,cellProbabilities5x5_Group2.csv,5,2,0.064035789,292
1000,cellProbabilities5x5_Group3.csv,5,3,-0.398834736,293
1000,cellProbabilities5x5_Group5.csv,5,5,-0.118535244,294
1000,cellProbabilities5x5_Group6.csv,5,6,0.08848002,295
1000,cellProbabilities5x5_Group7.csv,5,7,-0.405383164,296
1000,cellProbabilities5x5_Group8.csv,5,8,0.425880687,297
1000,cellProbabilities5x5_Group11.csv,5,11,-6.87E-07,298
1000,cellProbabilities5x5_Group12.csv,5,12,0.164747842,299
1000,cellProbabilities5x5_Group13.csv,5,13,0.49763817,300
